wafer_id,die_x,die_y,center_x_mm,center_y_mm,dist_from_center,Vth_V,Idsat_uA,Rs_ohm_sq
1,-6,6,-60,60,84.85,0.4526,800.45,149.73
1,-6,7,-60,70,92.2,0.4495,811.98,151.95
1,-6,8,-60,80,100.0,0.4516,775.56,152.11
1,-6,9,-60,90,108.17,0.4592,829.45,154.48
1,-6,10,-60,100,116.62,0.4408,792.21,157.52
1,-6,11,-60,110,125.3,0.4641,791.23,155.84
1,-6,12,-60,120,134.16,0.4578,788.0,153.65
1,-5,-12,-50,-120,130.0,0.4609,795.9,151.01
1,-5,-11,-50,-110,120.83,0.4678,782.48,153.36
1,-5,-10,-50,-100,111.8,0.4432,804.15,155.93
1,-5,-9,-50,-90,102.96,0.4479,780.3,151.67
1,-5,-8,-50,-80,94.34,0.462,777.66,146.99
1,-5,-7,-50,-70,86.02,0.4464,787.69,147.58
1,-5,-6,-50,-60,78.1,0.4332,808.84,151.02
1,-5,-5,-50,-50,70.71,0.4364,821.86,155.04
1,-5,-4,-50,-40,64.03,0.444,817.5,148.28
1,-5,-3,-50,-30,58.31,0.4514,787.46,156.64
1,-5,-2,-50,-20,53.85,0.4476,801.9,147.94
1,-5,-1,-50,-10,50.99,0.4649,828.3,154.89
1,-5,0,-50,0,50.0,0.4577,790.63,152.48
1,-5,1,-50,10,50.99,0.4499,819.69,153.35
1,-5,2,-50,20,53.85,0.4448,814.22,152.05
1,-5,3,-50,30,58.31,0.4278,812.01,148.7
1,-5,4,-50,40,64.03,0.4429,787.35,149.59
1,-5,5,-50,50,70.71,0.4538,779.52,150.57
1,-5,6,-50,60,78.1,0.4546,827.93,146.77
1,-5,7,-50,70,86.02,0.4472,803.92,153.48
1,-5,8,-50,80,94.34,0.448,817.39,144.5
1,-5,9,-50,90,102.96,0.442,802.18,146.6
1,-5,10,-50,100,111.8,0.445,785.43,153.9
1,-5,11,-50,110,120.83,0.4423,791.37,155.67
1,-5,12,-50,120,130.0,0.4595,777.94,154.99
1,-4,-13,-40,-130,136.01,0.4621,800.47,151.36
1,-4,-12,-40,-120,126.49,0.4592,788.69,152.16
1,-4,-11,-40,-110,117.05,0.4332,788.4,154.84
1,-4,-10,-40,-100,107.7,0.4595,800.46,147.92
1,-4,-9,-40,-90,98.49,0.4542,789.78,151.59
1,-4,-8,-40,-80,89.44,0.451,785.35,147.44
1,-4,-7,-40,-70,80.62,0.4528,796.68,147.48
1,-4,-6,-40,-60,72.11,0.4426,795.44,154.7
1,-4,-5,-40,-50,64.03,0.4458,799.79,150.3
1,-4,-4,-40,-40,56.57,0.441,773.56,146.92
1,-4,-3,-40,-30,50.0,0.452,801.31,152.11
1,-4,-2,-40,-20,44.72,0.4508,798.36,148.19
1,-4,-1,-40,-10,41.23,0.4571,786.21,146.67
1,-4,0,-40,0,40.0,0.4545,780.0,157.24
1,-4,1,-40,10,41.23,0.4506,805.22,147.57
1,-4,2,-40,20,44.72,0.4475,793.6,148.37
1,-4,3,-40,30,50.0,0.4551,793.26,153.05
1,-4,4,-40,40,56.57,0.4713,795.57,150.46
1,-4,5,-40,50,64.03,0.453,827.17,149.75
1,-4,6,-40,60,72.11,0.4434,781.0,149.83
1,-4,7,-40,70,80.62,0.4464,830.15,155.31
1,-4,8,-40,80,89.44,0.4417,789.34,150.34
1,-4,9,-40,90,98.49,0.4623,799.24,148.59
1,-4,10,-40,100,107.7,0.4528,785.71,153.02
1,-4,11,-40,110,117.05,0.4505,783.16,155.62
1,-4,12,-40,120,126.49,0.4535,763.91,153.58
1,-4,13,-40,130,136.01,0.4607,787.28,155.64
1,-3,-13,-30,-130,133.42,0.4622,780.4,152.08
1,-3,-12,-30,-120,123.69,0.4592,800.44,150.01
1,-3,-11,-30,-110,114.02,0.4551,807.89,153.33
1,-3,-10,-30,-100,104.4,0.4629,787.91,145.45
1,-3,-9,-30,-90,94.87,0.4521,804.74,154.44
1,-3,-8,-30,-80,85.44,0.4595,808.05,152.32
1,-3,-7,-30,-70,76.16,0.4485,781.71,150.35
1,-3,-6,-30,-60,67.08,0.4579,809.85,152.5
1,-3,-5,-30,-50,58.31,0.4466,796.02,151.45
1,-3,-4,-30,-40,50.0,0.4456,792.26,150.89
1,-3,-3,-30,-30,42.43,0.4561,797.01,146.51
1,-3,-2,-30,-20,36.06,0.4441,803.06,150.57
1,-3,-1,-30,-10,31.62,0.4519,807.82,150.02
1,-3,0,-30,0,30.0,0.4521,799.32,153.45
1,-3,1,-30,10,31.62,0.4615,782.16,149.23
1,-3,2,-30,20,36.06,0.4503,796.0,155.38
1,-3,3,-30,30,42.43,0.4518,787.92,151.79
1,-3,4,-30,40,50.0,0.4522,804.56,155.42
1,-3,5,-30,50,58.31,0.4528,795.45,144.13
1,-3,6,-30,60,67.08,0.4487,819.59,149.73
1,-3,7,-30,70,76.16,0.4321,792.52,152.98
1,-3,8,-30,80,85.44,0.4544,787.4,148.33
1,-3,9,-30,90,94.87,0.4472,789.36,144.25
1,-3,10,-30,100,104.4,0.4585,815.29,146.38
1,-3,11,-30,110,114.02,0.4651,790.77,155.48
1,-3,12,-30,120,123.69,0.4588,789.26,154.05
1,-3,13,-30,130,133.42,0.4561,799.23,150.93
1,-2,-13,-20,-130,131.53,0.4584,790.38,152.48
1,-2,-12,-20,-120,121.66,0.464,809.0,155.71
1,-2,-11,-20,-110,111.8,0.4389,795.24,154.67
1,-2,-10,-20,-100,101.98,0.4413,808.15,152.76
1,-2,-9,-20,-90,92.2,0.4404,812.3,151.03
1,-2,-8,-20,-80,82.46,0.4552,785.51,150.45
1,-2,-7,-20,-70,72.8,0.4364,765.85,150.42
1,-2,-6,-20,-60,63.25,0.4588,803.79,149.81
1,-2,-5,-20,-50,53.85,0.4485,785.86,149.33
1,-2,-4,-20,-40,44.72,0.4534,793.47,152.25
1,-2,-3,-20,-30,36.06,0.4516,804.75,152.67
1,-2,-2,-20,-20,28.28,0.4458,809.89,148.84
1,-2,-1,-20,-10,22.36,0.4527,790.31,147.27
1,-2,0,-20,0,20.0,0.4507,771.72,149.11
1,-2,1,-20,10,22.36,0.4371,811.69,153.15
1,-2,2,-20,20,28.28,0.4431,806.42,152.7
1,-2,3,-20,30,36.06,0.4572,803.22,152.2
1,-2,4,-20,40,44.72,0.4448,801.25,148.6
1,-2,5,-20,50,53.85,0.4441,800.54,151.04
1,-2,6,-20,60,63.25,0.4593,803.98,151.93
1,-2,7,-20,70,72.8,0.4552,840.31,144.57
1,-2,8,-20,80,82.46,0.4445,822.11,148.94
1,-2,9,-20,90,92.2,0.4572,803.24,156.53
1,-2,10,-20,100,101.98,0.4429,815.62,156.01
1,-2,11,-20,110,111.8,0.4463,805.09,148.69
1,-2,12,-20,120,121.66,0.458,784.52,145.47
1,-2,13,-20,130,131.53,0.465,784.67,158.45
1,-1,-13,-10,-130,130.38,0.4661,817.6,154.16
1,-1,-12,-10,-120,120.42,0.4565,786.28,151.2
1,-1,-11,-10,-110,110.45,0.4364,790.65,145.25
1,-1,-10,-10,-100,100.5,0.4551,779.18,147.98
1,-1,-9,-10,-90,90.55,0.4447,796.9,150.18
1,-1,-8,-10,-80,80.62,0.4587,791.34,151.44
1,-1,-7,-10,-70,70.71,0.4718,805.66,149.46
1,-1,-6,-10,-60,60.83,0.4438,797.09,147.34
1,-1,-5,-10,-50,50.99,0.4521,801.55,143.51
1,-1,-4,-10,-40,41.23,0.4499,816.14,148.8
1,-1,-3,-10,-30,31.62,0.4448,779.33,144.43
1,-1,-2,-10,-20,22.36,0.4567,797.28,152.32
1,-1,-1,-10,-10,14.14,0.4623,813.82,148.37
1,-1,0,-10,0,10.0,0.4512,790.78,147.88
1,-1,1,-10,10,14.14,0.4527,787.52,143.37
1,-1,2,-10,20,22.36,0.4429,795.4,154.56
1,-1,3,-10,30,31.62,0.4461,807.68,149.5
1,-1,4,-10,40,41.23,0.4598,817.36,153.53
1,-1,5,-10,50,50.99,0.4361,803.1,152.28
1,-1,6,-10,60,60.83,0.4531,809.55,150.18
1,-1,7,-10,70,70.71,0.444,774.54,148.06
1,-1,8,-10,80,80.62,0.4714,792.72,144.12
1,-1,9,-10,90,90.55,0.4559,812.8,154.02
1,-1,10,-10,100,100.5,0.4552,810.46,156.18
1,-1,11,-10,110,110.45,0.4481,779.8,148.17
1,-1,12,-10,120,120.42,0.4552,810.54,154.11
1,-1,13,-10,130,130.38,0.4651,755.95,151.76
1,0,-13,0,-130,130.0,0.4463,801.04,158.54
1,0,-12,0,-120,120.0,0.4634,774.47,156.92
1,0,-11,0,-110,110.0,0.4519,775.94,148.52
1,0,-10,0,-100,100.0,0.4479,798.68,150.14
1,0,-9,0,-90,90.0,0.4387,818.2,149.68
1,0,-8,0,-80,80.0,0.4443,816.65,146.45
1,0,-7,0,-70,70.0,0.437,819.09,155.67
1,0,-6,0,-60,60.0,0.4463,799.31,146.56
1,0,-5,0,-50,50.0,0.45,792.86,149.69
1,0,-4,0,-40,40.0,0.4533,783.53,148.91
1,0,-3,0,-30,30.0,0.4356,794.68,149.72
1,0,-2,0,-20,20.0,0.4518,803.59,152.71
1,0,-1,0,-10,10.0,0.4377,777.71,151.59
1,0,0,0,0,0.0,0.4337,802.75,146.46
1,0,1,0,10,10.0,0.4626,803.76,149.34
1,0,2,0,20,20.0,0.4598,784.05,147.38
1,0,3,0,30,30.0,0.4399,787.02,150.18
1,0,4,0,40,40.0,0.454,814.42,144.53
1,0,5,0,50,50.0,0.4486,783.38,149.38
1,0,6,0,60,60.0,0.4687,804.38,152.7
1,0,7,0,70,70.0,0.4657,816.91,148.66
1,0,8,0,80,80.0,0.4398,799.55,148.3
1,0,9,0,90,90.0,0.4378,803.61,150.93
1,0,10,0,100,100.0,0.4655,792.51,151.47
1,0,11,0,110,110.0,0.4486,807.26,151.04
1,0,12,0,120,120.0,0.4478,789.06,153.65
1,0,13,0,130,130.0,0.4631,799.16,149.44
1,1,-13,10,-130,130.38,0.4544,792.83,151.67
1,1,-12,10,-120,120.42,0.4592,752.75,160.67
1,1,-11,10,-110,110.45,0.4519,811.87,150.45
1,1,-10,10,-100,100.5,0.4548,820.16,154.16
1,1,-9,10,-90,90.55,0.4484,797.94,153.17
1,1,-8,10,-80,80.62,0.4687,802.88,155.87
1,1,-7,10,-70,70.71,0.4481,814.28,153.3
1,1,-6,10,-60,60.83,0.4467,788.79,153.44
1,1,-5,10,-50,50.99,0.4457,786.58,147.95
1,1,-4,10,-40,41.23,0.4457,812.85,151.55
1,1,-3,10,-30,31.62,0.4557,806.32,148.22
1,1,-2,10,-20,22.36,0.4556,817.74,151.75
1,1,-1,10,-10,14.14,0.4536,788.49,150.64
1,1,0,10,0,10.0,0.4434,799.64,145.08
1,1,1,10,10,14.14,0.4369,797.13,148.35
1,1,2,10,20,22.36,0.4509,797.98,150.09
1,1,3,10,30,31.62,0.4549,793.05,149.34
1,1,4,10,40,41.23,0.4616,800.05,149.46
1,1,5,10,50,50.99,0.4507,797.58,147.87
1,1,6,10,60,60.83,0.442,788.55,152.62
1,1,7,10,70,70.71,0.445,797.68,152.1
1,1,8,10,80,80.62,0.4478,809.5,145.38
1,1,9,10,90,90.55,0.449,801.16,150.22
1,1,10,10,100,100.5,0.4383,815.82,148.1
1,1,11,10,110,110.45,0.4567,794.08,154.47
1,1,12,10,120,120.42,0.4748,769.69,150.58
1,1,13,10,130,130.38,0.4627,766.66,156.19
1,2,-13,20,-130,131.53,0.4684,790.91,154.72
1,2,-12,20,-120,121.66,0.4687,771.03,152.87
1,2,-11,20,-110,111.8,0.4485,806.7,146.09
1,2,-10,20,-100,101.98,0.4516,802.32,147.92
1,2,-9,20,-90,92.2,0.4451,800.02,153.08
1,2,-8,20,-80,82.46,0.4417,787.12,153.38
1,2,-7,20,-70,72.8,0.4478,788.34,152.19
1,2,-6,20,-60,63.25,0.4461,815.41,148.01
1,2,-5,20,-50,53.85,0.4487,814.17,149.32
1,2,-4,20,-40,44.72,0.456,799.02,155.95
1,2,-3,20,-30,36.06,0.4626,780.08,151.57
1,2,-2,20,-20,28.28,0.4435,802.87,150.21
1,2,-1,20,-10,22.36,0.4416,815.88,150.61
1,2,0,20,0,20.0,0.4477,793.43,150.42
1,2,1,20,10,22.36,0.4533,798.13,141.5
1,2,2,20,20,28.28,0.4501,778.38,149.37
1,2,3,20,30,36.06,0.4388,778.75,153.71
1,2,4,20,40,44.72,0.4474,794.05,151.45
1,2,5,20,50,53.85,0.447,831.56,149.18
1,2,6,20,60,63.25,0.4529,814.56,154.81
1,2,7,20,70,72.8,0.4441,793.73,153.82
1,2,8,20,80,82.46,0.4565,816.13,145.89
1,2,9,20,90,92.2,0.4625,788.37,150.79
1,2,10,20,100,101.98,0.4506,784.11,146.52
1,2,11,20,110,111.8,0.4405,795.14,147.01
1,2,12,20,120,121.66,0.4487,785.1,144.76
1,2,13,20,130,131.53,0.4679,746.37,153.78
1,3,-13,30,-130,133.42,0.4626,789.38,154.17
1,3,-12,30,-120,123.69,0.4747,790.47,156.09
1,3,-11,30,-110,114.02,0.4493,794.12,156.45
1,3,-10,30,-100,104.4,0.4505,799.31,153.88
1,3,-9,30,-90,94.87,0.4445,766.87,151.1
1,3,-8,30,-80,85.44,0.4579,779.73,152.04
1,3,-7,30,-70,76.16,0.4554,765.9,147.19
1,3,-6,30,-60,67.08,0.4468,797.31,147.77
1,3,-5,30,-50,58.31,0.4436,825.07,149.68
1,3,-4,30,-40,50.0,0.4444,799.38,151.61
1,3,-3,30,-30,42.43,0.4504,796.91,148.05
1,3,-2,30,-20,36.06,0.4447,791.03,151.02
1,3,-1,30,-10,31.62,0.442,805.9,154.24
1,3,0,30,0,30.0,0.4526,794.46,146.11
1,3,1,30,10,31.62,0.4626,782.45,152.55
1,3,2,30,20,36.06,0.4551,796.45,149.21
1,3,3,30,30,42.43,0.4353,804.95,151.86
1,3,4,30,40,50.0,0.4413,797.66,150.11
1,3,5,30,50,58.31,0.4547,800.06,145.12
1,3,6,30,60,67.08,0.4458,803.37,152.52
1,3,7,30,70,76.16,0.4451,832.81,144.32
1,3,8,30,80,85.44,0.4455,798.75,149.42
1,3,9,30,90,94.87,0.4406,806.02,151.45
1,3,10,30,100,104.4,0.4528,801.41,149.67
1,3,11,30,110,114.02,0.4422,781.56,152.28
1,3,12,30,120,123.69,0.4598,787.85,154.58
1,3,13,30,130,133.42,0.4578,781.71,156.01
1,4,-13,40,-130,136.01,0.4629,760.96,151.81
1,4,-12,40,-120,126.49,0.4662,806.49,156.82
1,4,-11,40,-110,117.05,0.458,772.76,152.12
1,4,-10,40,-100,107.7,0.4657,804.41,150.59
1,4,-9,40,-90,98.49,0.4561,779.34,148.45
1,4,-8,40,-80,89.44,0.4413,807.04,152.26
1,4,-7,40,-70,80.62,0.4488,786.91,149.94
1,4,-6,40,-60,72.11,0.4461,788.06,151.02
1,4,-5,40,-50,64.03,0.4439,776.5,145.97
1,4,-4,40,-40,56.57,0.4372,803.71,150.45
1,4,-3,40,-30,50.0,0.4508,808.82,153.58
1,4,-2,40,-20,44.72,0.4453,806.1,145.26
1,4,-1,40,-10,41.23,0.461,781.33,147.87
1,4,0,40,0,40.0,0.4452,777.11,150.1
1,4,1,40,10,41.23,0.4517,797.16,145.38
1,4,2,40,20,44.72,0.4659,808.24,157.9
1,4,3,40,30,50.0,0.4436,814.37,152.34
1,4,4,40,40,56.57,0.4477,821.17,148.78
1,4,5,40,50,64.03,0.4471,747.93,151.23
1,4,6,40,60,72.11,0.4394,791.74,146.92
1,4,7,40,70,80.62,0.4471,806.66,150.03
1,4,8,40,80,89.44,0.4557,818.98,149.01
1,4,9,40,90,98.49,0.4472,812.75,153.64
1,4,10,40,100,107.7,0.4592,780.85,152.48
1,4,11,40,110,117.05,0.457,806.6,150.42
1,4,12,40,120,126.49,0.4463,795.95,145.62
1,4,13,40,130,136.01,0.4577,764.26,151.6
1,5,-12,50,-120,130.0,0.455,801.74,156.25
1,5,-11,50,-110,120.83,0.4554,805.82,149.39
1,5,-10,50,-100,111.8,0.4448,806.3,153.33
1,5,-9,50,-90,102.96,0.4483,779.92,155.21
1,5,-8,50,-80,94.34,0.4366,790.43,151.0
1,5,-7,50,-70,86.02,0.4644,805.75,151.48
1,5,-6,50,-60,78.1,0.4454,808.53,150.32
1,5,-5,50,-50,70.71,0.4373,811.89,152.91
1,5,-4,50,-40,64.03,0.4564,800.5,147.13
1,5,-3,50,-30,58.31,0.4315,802.36,153.25
1,5,-2,50,-20,53.85,0.458,812.24,149.78
1,5,-1,50,-10,50.99,0.4587,813.86,148.73
1,5,0,50,0,50.0,0.4554,791.96,151.62
1,5,1,50,10,50.99,0.4396,781.67,153.17
1,5,2,50,20,53.85,0.4575,809.5,150.26
1,5,3,50,30,58.31,0.4309,798.88,151.36
1,5,4,50,40,64.03,0.4457,789.31,154.33
1,5,5,50,50,70.71,0.4495,806.82,152.32
1,5,6,50,60,78.1,0.442,802.9,153.96
1,5,7,50,70,86.02,0.4646,800.6,149.32
1,5,8,50,80,94.34,0.4525,803.06,154.47
1,5,9,50,90,102.96,0.4441,792.76,147.48
1,5,10,50,100,111.8,0.4463,799.0,154.02
1,5,11,50,110,120.83,0.4523,800.4,155.91
1,5,12,50,120,130.0,0.4765,784.52,151.87
1,6,-12,60,-120,134.16,0.4548,764.3,158.15
1,6,-11,60,-110,125.3,0.447,804.57,150.53
1,6,-10,60,-100,116.62,0.4505,788.76,149.98
1,6,-9,60,-90,108.17,0.4608,822.14,149.28
1,6,-8,60,-80,100.0,0.4479,795.48,152.25
1,6,-7,60,-70,92.2,0.4489,820.6,153.66
1,6,-6,60,-60,84.85,0.4405,807.81,154.58
1,6,-5,60,-50,78.1,0.446,795.59,148.42
1,6,-4,60,-40,72.11,0.4459,774.97,146.02
1,6,-3,60,-30,67.08,0.4506,822.7,148.16
1,6,-2,60,-20,63.25,0.4449,825.52,146.68
1,6,-1,60,-10,60.83,0.4367,787.57,148.01
1,6,0,60,0,60.0,0.436,798.08,152.85
1,6,1,60,10,60.83,0.4397,801.31,151.19
1,6,2,60,20,63.25,0.4493,802.79,150.59
1,6,3,60,30,67.08,0.4435,822.48,153.74
1,6,4,60,40,72.11,0.4595,815.21,145.28
1,6,5,60,50,78.1,0.4574,809.83,145.39
1,6,6,60,60,84.85,0.4483,804.15,155.01
1,6,7,60,70,92.2,0.4559,786.82,155.3
1,6,8,60,80,100.0,0.4517,794.1,149.65
1,6,9,60,90,108.17,0.4404,793.3,152.74
1,6,10,60,100,116.62,0.4529,797.34,149.49
1,6,11,60,110,125.3,0.458,791.05,153.71
1,6,12,60,120,134.16,0.4499,774.24,159.44
1,7,-11,70,-110,130.38,0.4572,783.47,153.58
1,7,-10,70,-100,122.07,0.4705,807.5,155.15
1,7,-9,70,-90,114.02,0.4473,797.7,153.51
1,7,-8,70,-80,106.3,0.4473,782.64,156.21
1,7,-7,70,-70,98.99,0.4488,822.46,153.56
1,7,-6,70,-60,92.2,0.4534,806.58,146.02
1,7,-5,70,-50,86.02,0.4517,821.26,152.08
1,7,-4,70,-40,80.62,0.4512,825.68,149.44
1,7,-3,70,-30,76.16,0.445,802.31,152.3
