lot,phase,wafer_id,product,tool,chamber,process_step,pattern,root_cause,action,die_x,die_y,die_dx,die_dy,status,fail_reason
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,14,4,-2.0,-12.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,15,4,-1.0,-12.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,16,4,0.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,17,4,1.0,-12.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,18,4,2.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,19,4,3.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,20,4,4.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,21,4,5.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,22,4,6.0,-12.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,23,4,7.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,24,4,8.0,-12.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,7,5,-9.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,8,5,-8.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,9,5,-7.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,10,5,-6.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,11,5,-5.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,5,-4.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,13,5,-3.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,14,5,-2.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,15,5,-1.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,16,5,0.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,17,5,1.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,18,5,2.0,-11.0,FAIL,random
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,19,5,3.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,20,5,4.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,21,5,5.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,22,5,6.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,23,5,7.0,-11.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,24,5,8.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,25,5,9.0,-11.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,6,6,-10.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,7,6,-9.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,8,6,-8.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,9,6,-7.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,10,6,-6.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,11,6,-5.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,6,-4.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,13,6,-3.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,14,6,-2.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,15,6,-1.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,16,6,0.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,17,6,1.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,18,6,2.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,19,6,3.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,20,6,4.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,21,6,5.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,22,6,6.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,23,6,7.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,24,6,8.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,25,6,9.0,-10.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,26,6,10.0,-10.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,5,7,-11.0,-9.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,6,7,-10.0,-9.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,7,7,-9.0,-9.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,8,7,-8.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,9,7,-7.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,10,7,-6.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,11,7,-5.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,7,-4.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,13,7,-3.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,14,7,-2.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,15,7,-1.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,16,7,0.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,17,7,1.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,18,7,2.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,19,7,3.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,20,7,4.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,21,7,5.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,22,7,6.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,23,7,7.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,24,7,8.0,-9.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,25,7,9.0,-9.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,26,7,10.0,-9.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,27,7,11.0,-9.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,4,8,-12.0,-8.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,5,8,-11.0,-8.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,6,8,-10.0,-8.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,7,8,-9.0,-8.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,8,8,-8.0,-8.0,FAIL,edge_ring
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,9,8,-7.0,-8.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,10,8,-6.0,-8.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,11,8,-5.0,-8.0,PASS,pass
LOT-A,改善前,W01,28nm MCU,ETCH-07,A,Plasma Etch,edge_ring,边缘环形失效，怀疑静电卡盘温控漂移与边缘等离子体不均匀,校准 ESC 温区并复核边缘 gas flow,12,8,-4.0,-8.0,PASS,pass
